id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
1172,Maria Manuela Augusto,Nome Completo,PS,False,"Licenciatura em História, pela Universidade Clássica de Lisboa;; Curso de Qualificação em Ciências da Educação, pela Universidade Aberta;; Frequência do Curso de Assistente Social, no Instituto Superior de Serviço Social PIO XII, em Luanda, República Popular de Angola.; Curso de Educação Ambiental, pela Escola Superior de Educação de Faro;; Curso de Formação para a Aplicação das Novas Tecnologias na Educação, pela Escola Superior de Educação de Faro;; Formação sobre Ensino e Aprendizagem Cooperativos.",Data de Nascimento,Professora do Ensino Secundário,"Membro da Direcção do Grupo Parlamentar do Partido Socialista, por inerência;; Presidente do Departamento Nacional das Mulheres Socialistas;; Membro da Assembleia Parlamentar da CPLP;; Vice-presidente do Grupo Parlamentar de Amizade Portugal/Angola; ; Vice-presidente do Grupo Parlamentar de Amizade Portugal/Guiné-Bissau;; Vice-presidente do Grupo Parlamentar de Amizade Portugal/Timor-Leste.; Membro do Secretariado Nacional do Partido Socialista;; Membro da Comissão Política Nacional do Partido Socialista;; Membro da Comissão Nacional do Partido Socialista;; Membro da Comissão Política Concelhia de Oeiras do Partido Socialista;","Deputada à Assembleia da República na VII Legislatura;   ; Assessora do Gabinete do Secretário de Estado da Educação no XVII Governo Constitucional;; Adjunta do Gabinete do Secretário de Estado Adjunto da Presidência do Conselho de Ministros, no XIV Governo Constitucional;; Assessora do Gabinete do Ministro do Equipamento Social, no XIV Governo Constitucional;; Vereadora na Câmara Municipal de Oeiras, com o pelouro Emprego e Formação Profissional, no mandato 2001/2005;; Vereadora na Câmara Municipal de Oeiras, sem pelouro, no mandato 1997/2001;; Membro da Assembleia de Freguesia de Algés no mandato 1993/1997;; Membro da Assembleia Municipal de Oeiras, mandato de 1993/1997; Sócia fundadora e membro da Direcção da Cooperofaro, (Cooperativa de habitação de professores,em Faro).; Professora do Ensino Secundário do (do Q.N.D.) em regime de Destacamento na Coordenação Concelhia do Ensino Recorrente e Extra Escolas de Oeiras; Docente do 10º grupo A, tendo iniciado funções lectivas, no ensino público, no ano lectivo de 1982/83;; Leccionou em Angola, como cooperante, em 1975/76;; Membro do Conselho Directivo da Escola Secundária de Miraflores, cumprindo 2 mandatos;; Pertence ao quadro da Escola EB 2, 3 Professor Galopim de Carvalho, onde exerceu funções docentes, foi Coordenadora do Departamento de História e Geografia e membro do Conselho Pedagógico, nos anos lectivos entre 2002 e 2006;; Membro da Direcção do Sindicato de Professores da Zona Sul",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1172,2014-11-18T23:05:02.874050
1173,Armando Paulino,Nome Completo,PS,False,,Data de Nascimento,TECNICO DE MAQUINAS,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1173,2014-11-18T23:05:02.994282
1176,Casimiro Ramos,Nome Completo,PS,False,Licenciatura em Organização e Gestão de Empresas.,Data de Nascimento,Professor Universitário,Vereador da Câmara Municipal de Arruda dos Vinhos; Membro do Secretariado da F.R.O.; Presidente da Comissão da Concelhia de Arruda dos Vinhos.,Deputado na VIII Legislatura ; Membro da Assembleia Municipal de Arruda dos Vinhos; Membro da 4.ª e 5.ª Comissões,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1176,2014-11-18T23:05:03.170771
1177,Manuel Jerónimo,Nome Completo,PS,False,,Data de Nascimento,REFORMADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1177,2014-11-18T23:05:03.286881
1180,Dias Baptista,Nome Completo,PS,False,Licenciatura em Direito.,Data de Nascimento,Jurista,,Deputado na VIII Legislatura; Deputado à Assembleia Municipal de Lisboa e Deputado na Assembleia da Àrea Metropolitana de Lisboa; Presidente da Assembleia de Freguesia da Ajuda; Vice-Presidente do Instituto de Meteorologia,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1180,2014-11-18T23:05:03.457269
1182,Ruben de Carvalho,Nome Completo,PCP,False,,Data de Nascimento,JORNALISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1182,2014-11-18T23:05:03.597907
1184,Joaquim Matias,Nome Completo,PCP,False,,Data de Nascimento,GESTOR TECNICO-COMERCIAL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1184,2014-11-18T23:05:03.808069
1192,Carmen Francisco,Nome Completo,PEV,False,,Data de Nascimento,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1192,2014-11-18T23:05:04.113862
1194,Lucília Ferra,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1194,2014-11-18T23:05:04.256417
1205,António Vitorino,Nome Completo,PS,False,Licenciatura em Direito; Mestre em Ciências Jurídico-Políticas.,Data de Nascimento,Advogado - Assistente Universitário,Deputado na X Legislatura;; Docente Universitário;; Presidente da Assembleia Geral do Banco Santander-Totta;; Advogado em profissão liberal;; Membro de várias ONG's Europeias;,"Juiz do Tribunal Constitucional;; Membro do Governo;; Secretário Adjunto do Governador de Macau;; Administrador não executivo da Portugal Telecom Internacional;; Consultor Jurídico da EDP;; Consultor de Assuntos Sociais da José de Mello SGPS;; Vice Presidente do Conselho de Planeamento da Universidade Internacional;; Presidente do Centro de Estudos Euralgense;; Comissário Europeu;; Deputado na II, III, IV, V e VII Legislatura;; Deputado ao Parlamento Europeu (1994/1995);",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1205,2014-11-18T23:05:04.652012
1206,Aires de Carvalho,Nome Completo,PS,False,,Data de Nascimento,TÉCNICO DE VERIFICAÇÃO TRIBUTÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1206,2014-11-18T23:05:04.774748
1207,Garcia dos Santos,Nome Completo,PS,False,,Data de Nascimento,ASSESSOR DA MARCONI,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1207,2014-11-18T23:05:04.890576
1208,Fernanda Costa,Nome Completo,PS,False,,Data de Nascimento,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1208,2014-11-18T23:05:05.008633
1209,Matos Leitão,Nome Completo,PS,False,,Data de Nascimento,FUNCIONARIO PUBLICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1209,2014-11-18T23:05:05.125690
1210,Maria Amélia Antunes,Nome Completo,PS,False,,Data de Nascimento,ADVOGADA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1210,2014-11-18T23:05:05.242232
1211,Carlos Amândio,Nome Completo,PS,False,,Data de Nascimento,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1211,2014-11-18T23:05:05.358917
1212,Ana Catarina Mendonça Mendes,Nome Completo,PS,True,Licenciatura em Direito; Frequência  de Mestrado em Novas Fronteiras do Direito,Data de Nascimento,Advogada,Deputada na XI Legislatura;,"Deputada Municipal na Assembleia Municipal de Almada 93/97; Deputada nas VII, VIII, IX e X Legislaturas","Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Suplente]; Comissão de Assuntos Europeus; Comissão de Educação, Ciência e Cultura [Suplente]; Grupo de Trabalho - Iniciativas Europeias",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1212,2014-11-18T23:05:05.552889
1217,Nuno Abecasis,Nome Completo,CDS-PP,False,,Data de Nascimento,ENGENHEIRO CIVIL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1217,2014-11-18T23:05:05.781780
1218,António Pombeiro,Nome Completo,CDS-PP,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1218,2014-11-18T23:05:05.894543
1234,Paulo Mendo,Nome Completo,PSD,False,,Data de Nascimento,MEDICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1234,2014-11-18T23:05:06.415523
