id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
1824,José Granja da Fonseca,Nome Completo,PSD,False,,Data de Nascimento,FUNCIONÁRIO PÚBLICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1824,2014-11-18T23:05:49.469980
1825,Luís Rodrigues,Nome Completo,PSD,False,Licenciatura em Engenharia Civil (IST); Frequência  de Mestrado em Planeamento Regional e Urbano,Data de Nascimento,Engenheiro Civil - N.º 22844 na Ordem dos Engenheiros,Deputado na XI Legislatura; Secretário Geral Adjunto do PSD; Membro da Assembleia Municipal do Seixal,"Deputado nas VIII, IX e X Legislaturas; Vereador da Câmara Municipal do Seixal; Membro da Assembleia Municipal do Seixal; Técnico Superior da Empresa JDR. Lda; Presidente da CPS - Seixal; Adjunto do Governador Civil de Setubal; Técnico Superior da Comissão de Coordenação da Região de Lisboa e Vale do Tejo e da Câmara Municipal de Setubal; Técnico Superior da Empresa HV - Imóveis, Lda; Presidente da Comissão Política Distrital de Setúbal, Presidente da Mesa da Assembleia Distrital de Setúbal e Presidente da Comissão Política de Secção do Seixal",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1825,2014-11-18T23:05:49.597158
1826,Joaquim Ponte,Nome Completo,PSD,True,Licenciatura em Farmácia,Data de Nascimento,Farmacêutico,Deputado na X Legislatura;,Deputado na IX Legislatura;; Presidente do Conselho de Administração da Assembleia da República (2004-2005);; Presidente da Câmara Municipal de Angra do Heroismo (1985-96);; Chefe de Gabinete do Sec. Regional dos Assuntos Sociais do Governo Regional dos Açores (1980-1984);; Deputado na VIII Legislatura;; Deputado Assembleia Legislativa Regional dos Açores (1980-84 e 1996-99);,Comissão de Negócios Estrangeiros e Comunidades Portuguesas [Suplente]; Comissão de Defesa Nacional [Coordenador GP]; Comissão Eventual para a Revisão Constitucional [Suplente],,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1826,2014-11-18T23:05:49.723190
1831,Ofélia Guerreiro,Nome Completo,PS,False,,,ADVOGADA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1831,2014-11-18T23:05:50.003979
1834,Fernando Alves Moreno,Nome Completo,CDS-PP,False,BACHAREL,Data de Nascimento,ENFERMEIRO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1834,2014-11-18T23:05:50.171191
1835,José Pires da Silva,Nome Completo,CDS-PP,False,CURSO DE GESTAO COMERCIAL,Data de Nascimento,GESTOR DE EMPRESAS,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1835,2014-11-18T23:05:50.287732
1839,José Alberto Fateixa,Nome Completo,PS,False,Licenciatura em Farmácia;,Data de Nascimento,Professor,Deputado na X Legislatura;; Membro da Assembleia Municipal de Estremoz;,Deputado na VIII e IX Legislaturas;; Vereador da Câmara Municipal de Estremoz (1990-1996);; Subdelegado Regional do Instituto Nacional do Desporto (1996-2000 e (2002-2003);; Membro da Assembleia Municipal de Estremoz (1997-2005);,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1839,2014-11-18T23:05:50.485791
1840,Miguel Miranda,Nome Completo,PSD,False,,Data de Nascimento,CONSULTOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1840,2014-11-18T23:05:50.602884
1841,Américo Pereira,Nome Completo,PS,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1841,2014-11-18T23:05:50.715199
1844,Alberto Caetano,Nome Completo,PSD,False,,Data de Nascimento,INSPECTOR TRIBUTÁRIO PRINCIPAL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1844,2014-11-18T23:05:50.882209
1847,Victor Cruz,Nome Completo,PSD,False,Licenciatura em Direito,Data de Nascimento,Advogado (Suspenso a seu pedido),Vice-Presidente do PSD/Açores; Presidente da comissão Política do PSD de São Miguel,Deputado na X Legislatura;; Deputado na A.L.R.Açores; Presidente da JSD/Açores; Presidente do Grupo Parlamentar do PSD na Assembleia Regional dos Açores; Deputado na IX Legislatura; Líder Parlamentar do PSD/Açores e Presidente de Diversas Comissões Parlamentares na A.L.R.A.,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1847,2014-11-18T23:05:51.054976
1848,Judite Jorge,Nome Completo,PSD,False,,Data de Nascimento,Jornalista,Deputada na X legislatura,Deputada na IX Legislatura,,,"Prémio Revelação da Associação Portuguesa de Escritores - 1987; Prémio Açores Rádio - 1991; Prémio Açores Novela - 1991; Bolsa de Criação Literária IPLB, 1999",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1848,2014-11-18T23:05:51.178927
1851,Gabriela Canavilhas,Nome Completo,PS,True,"Licenciatura em Licenciatura em Ciencias Musicais pela Universidade Nova de Lisboa; Licenciatura em Curso Superior de Piano do Conservatório Nacional; Diploma de Mérito pela Accademia Musicale Chigiana (Siena, Itália); 1º Prémio no V Concurso Internacional ""Città di Moncalieri"" em Turim, Itália; 1º Prémio em Música Erudita no Concurso Nacional promovido pelo Clube Português de Artes e Ideias; 1º Prémio Dame Ruth Railton",Data de Nascimento,PROFESSORA DO CONSERVATÓRIO NACIONAL DE LISBOA,,Ministra da Cultura do XVIII Governo Constitucional; Diretora Regional de Cultura do X Governo Regional dos Açores; Presidente da Orquestra Metropolitana de Lisboa; Presidente da Academia Nacional Superior de Orquestra; Membro do Conselho Diretivo da Fundação Luso-Americana para o Desenvolvimento; Diretora Artística do Festival MusicAtlântico dos Açores; Professora do Quadro da Escola de Música do Conservatório Nacional de Lisboa,"Comissão de Negócios Estrangeiros e Comunidades Portuguesas; Comissão de Educação, Ciência e Cultura [Suplente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1851,2014-11-18T23:05:51.358854
1855,Jorge Oliveira Godinho,Nome Completo,PSD,False,,,ENGENHEIRO ELECTROTÉCNICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1855,2014-11-18T23:05:51.550434
1856,José Manuel Ribeiro,Nome Completo,PSD,False,Bacharelato em Contabilidade e Administração;; Especialização em Controlo de Gestão.,Data de Nascimento,Gestor (Director Financeiro),Deputado na X Legislatura; Vice-Presidente do GP/PSD; Presidente da Assembleia Municipal de Anadia; Conselheiro Nacional do PSD; Presidente da Comissão Política de Secção de Anadia do PSD,"Deputado na IX Legislatura; Vereador na Câmara Municipal de Anadia, em regime de não permanência; Deputado na Assembleia Municipal de Anadia; Tesoureiro da Comissão Permanente Distrital de Aveiro do PSD; Vogal da Comissão Permanente Distrital de Aveiro do PSD; Membro da Assembleia Distrital de Aveiro do PSD; Presidente da Mesa da Assembleia de Secção de Anadia do PSD; Presidente da Comissão Política de Secção de Anadia do PSD; Tesoureiro da Comissão Política de Secção de Anadia do PSD; Vogal da Comissão Política de Secção de Anadia do PSD; Secretário da Mesa da Assembleia Distrital de Aveiro da JSD; Tesoureiro da Comissão Política de Secção de Anadia da JSD; Vogal da Comissão Política de Secção de Anadia da JSD; Coordenador do PSD na Comissão Parlamentar de Orçamento e Finanças; Coordenador do PSD na Subcomissão Parlamentar de Agricultura, Desenvolvimento Rural e Pescas; Membro da Comissão Parlamentar de Execução Orçamental; Membro da Comissão Parlamentar de Agricultura, Desenvolvimento Rural e Pescas; Membro da Comissão Parlamentar de Inquérito à Tragédia de Camarate; Membro da Subcomissão Parlamentar de Agricultura, Desenvolvimento Rural e Pescas; Juiz Social do Tribunal de Menores de Anadia; Membro da Comissão de Protecção de Crianças e Jovens Anadia; Membro do Conselho Geral do Anadia Futebol Clube",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1856,2014-11-18T23:05:51.677148
1857,Jorge Tadeu Morgado,Nome Completo,PSD,False,Licenciatura em Economia,Data de Nascimento,Economista,Deputado na X Legislatura;; Secretário da Direcção do GP/PSD; Membro da Assembleia Municipal de Ílhavo; Dirigente Associativo; Vice-Presidente da Comissão Política Secção Ílhavo PSD,Dirigente Académico; Presidente da Associação de estudantes da Escola Secundária de Ílhavo; Coordenador NESD - Fac. Economia U.C. (1992-1993); Presidente CPS/JSD - Ílhavo (1995-98); Secretário Geral Apifer (1997-2002); Assessor do Presidente da Câmara Municipal de Ílhavo (1999-2002); Deputado na IX Legislatura; Tesoureiro CAC/JSD (1993-94),,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1857,2014-11-18T23:05:51.873787
1858,Pina Marques,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1858,2014-11-18T23:05:51.989914
1863,Miguel Paiva,Nome Completo,CDS-PP,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1863,2014-11-18T23:05:52.211132
1864,Luís Miranda,Nome Completo,PS,False,,,ENGENHEIRO CIVIL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1864,2014-11-18T23:05:52.323139
1865,Nelson Brito,Nome Completo,PS,False,,,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1865,2014-11-18T23:05:52.438370
1867,Vieira da Silva,Nome Completo,PS,True,Frequência  de Mestrado em Mestrado,Data de Nascimento,Docente do Ensino Superior,Deputado na IX legislatura,Secretário de Estado das Obras Públicas; Secretário de Estado da Segurança Social,"Comissão de Orçamento, Finanças e Administração Pública; Comissão de Segurança Social e Trabalho [Suplente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1867,2014-11-18T23:05:52.586976
1872,Tavares Moreira,Nome Completo,PSD,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1872,2014-11-18T23:05:52.806445
1873,António Pinheiro Torres,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1873,2014-11-18T23:05:52.918763
1874,Jorge Pereira,Nome Completo,PSD,False,Licenciatura em Arquitectura;; Pós-graduação em Gestão de Entidades Públicas e Autárquicas;,Data de Nascimento,Arquitecto,"- Deputado à Assembleia da República na X Legislatura;; - Deputado à Assembleia Municipal de Vila Verde;; - Presidente da Junta de Freguesia de Lanhas, Vila Verde;; - Membro da Comissão Municipal sobre pedidos de instalação e modificação de estabelecimentos de comércio a retalho e por grosso - Ministério da Economia;; - Membro do Conselho Técnico da Associação de Futebol de Braga;; - Vice-Presidente da Comissão Politica Distrital do PSD de Braga;; - Membro da Assembleia Distrital do PSD de Braga;; - Vice-Presidente da Comissão Política de Secção do PSD de Vila Verde;; - Presidente da Mesa da Assembleia Geral da Associação Juvenil de Lanhas;; - Presidente da Mesa da Assembleia Geral da Associação de Cicloturismo de Lanhas;; - Presidente do Conselho de Administração da Associação  de Freguesias do Vale do Homem;; - Sócio-gerente da empresa Bialino - Mediação Imobiliária, Lda.; - Sócio-gerente da empresa Bialino - Consultoria e Gestão, Lda.; - Sócio-gerente da empresa Multiplicamos - Consultoria e Promoção Imobiliária, Lda;; - Sócio-gerente da empresa Cofijo - Construções, Lda.; - Sócio-gerente da empresa Espaço Abstrato-Imóveis, Lda;","- Deputado à Assembleia da República na IX Legislatura;; - Membro da Comissão Eventual para a Análise e Fiscalização dos Recursos Públicos Envolvidos na Organização do EURO 2004;; - Membro da Comissão de Ética;; - Adjunto do Presidente da Câmara Municipal de Vila Verde;; - Vereador da Câmara Municipal de Vila Verde;; - Secretário e vogal da Assembleia de Freguesia de Lanhas, Vila Verde;; - Membro do Conselho Nacional do PSD;; - Vogal da Comissão Política Distrital do PSD de Braga;; - Vogal da Comissão Política de Secção do PSD de Vila Verde;; - Membro do Conselho Nacional da JSD;; - Presidente da Comissão Política Distrital da JSD de Braga;; - Presidente da Mesa do Conselho Distrital da JSD de Braga;; - Presidente da Comissão Política de Secção da JSD de Vila Verde;; - Presidente da Mesa do Plenário de Secção da JSD de Vila Verde;; - Coordenador do Departamento Pedagógico da AAUM - Associação de Alunos da Universidade do Minho;; - Fundador e Presidente do MJTVH - Movimento de Juventude das Terras do Vale do Homem (Amares, Terras de Bouro e Vila Verde);; - Professor na Escola Profissional Amar Terra Verde (Amares, Terras de Bouro e Vila Verde);; - Consultor Técnico de empresas de Construção Civil;; - Responsável Técnico de Gabinetes e Ateliers de Arquitectura e Engenharia;; - Sócio-fundador da Associação Juvenil de Lanhas;; - Sócio-fundador da Associação de Cicloturismo de Lanhas;; - Sócio-fundador do Centro Social do Vale do Homem;; - Presidente da Mesa da Assembleia Geral da Associação - Grupo Cultural, Desportivo e Recreativo de Lanhas;",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1874,2014-11-18T23:05:53.056190
1875,Goreti Machado,Nome Completo,PSD,False,,Data de Nascimento,PROFESSORA ENSINO SECUNDÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1875,2014-11-18T23:05:53.169282
1876,Rui Miguel Ribeiro,Nome Completo,PSD,False,,,PROF. UNIVERSITÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1876,2014-11-18T23:05:53.283147
1877,Jorge Varanda,Nome Completo,PSD,False,Licenciatura em Direito,Data de Nascimento,Advogado,Deputado na X Legislatura;; Gerente de Várias Empresas,"Advogado; Membro da Assembleia Municipal de Vieira do Minho, 1989-2003; Gestor de Empresas; Deputado na IX Legislatura; Vereador da Câmara Municipal de Vieira do Minho, 1993-1997 e 1997-2001",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1877,2014-11-18T23:05:53.401203
1878,Agostinho Silva,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SUPERIOR E ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1878,2014-11-18T23:05:53.516089
1880,Maria José Morais,Nome Completo,PSD,False,,Data de Nascimento,BANCÁRIA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1880,2014-11-18T23:05:53.653565
1884,José Manuel Pavão,Nome Completo,PSD,False,,Data de Nascimento,MÉDICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1884,2014-11-18T23:05:53.912055
1885,Paula Malojo,Nome Completo,PSD,False,,Data de Nascimento,PROFESSORA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1885,2014-11-18T23:05:54.025410
1886,Maria Elisa Domingues,Nome Completo,PSD,False,,Data de Nascimento,JORNALISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1886,2014-11-18T23:05:54.141060
1887,Ribeiro Cristóvão,Nome Completo,PSD,False,7.º Ano dos Liceus,Data de Nascimento,Jornalista,Deputado na X Legislatura;; Presidente da Assembleia Municipal do Concelho de Proença-A-Nova;,Deputado na IX Legislatura;; Presidente da Assembleia Municipal do Concelho de Proença-A-Nova;; Jornalista da Rádio Renascença;,,,Medalha de Mérito Desportivo;,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1887,2014-11-18T23:05:54.258163
1888,Francisco Pimentel,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1888,2014-11-18T23:05:54.373796
1889,Valter Lemos,Nome Completo,PS,False,Mestrado em Educação; Licenciatura em Biologia,Data de Nascimento,Professor do Ensino Superior,Deputado na IX Legislatura; Presidente da Assembleia Municipal de Castelo Branco,Presidente do Instituto Politécnico de Castelo Branco,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1889,2014-11-18T23:05:54.494390
1890,Cristina Granada,Nome Completo,PS,False,Licenciatura em Línguas e Literaturas Modernas Português-Francês,Data de Nascimento,Professora do Ensino Secundário,Membro da Assembleia de Freguesia de Alcains; Membro da Assembleia Municipal de Castelo Branco,Deputada na IX e X Legislatura; Presidente do Conselho Executivo da Escola Secundária de Alcains,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1890,2014-11-18T23:05:54.616067
1892,Vitor Cunha,Nome Completo,PS,False,,Data de Nascimento,EMPRESÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1892,2014-11-18T23:05:54.753905
1893,Pedro Coimbra,Nome Completo,PS,False,,Data de Nascimento,ENGENHEIRO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1893,2014-11-18T23:05:54.869827
1896,Massano Cardoso,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR CATEDRÁTICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1896,2014-11-18T23:05:55.034956
1897,Teresa Morais,Nome Completo,PSD,False,Mestrado em Direito,Data de Nascimento,Jurista/ Docente Universitária,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1897,2014-11-18T23:05:55.152719
1898,Miguel Coleta,Nome Completo,PSD,False,Licenciatura em Ciências Farmacêuticas; Mestre em Tecnologias do Medicamento,Data de Nascimento,Farmacéutico/Professor Universitário,Doutorando em Farmacognosia e Fitoquímica na Faculdade de Farmácia da Universidade de Coimbra,Deputado na IX Legislatura; Monitor na Faculdade de Farmácia da Universidade de Coimbra (1992-95); Bolseiro de Mestrado do Min. Ciência e Tecnologia (1995-98); Presidente da Subcomissão Parlamentar de Saúde e Toxicodependência; Presidente da Distrital da JSD - Coimbra (1996); Director do Gabinete Estudos da JSD (1998-2000); 1.º Vice-Presidente da JSD (2000); Bolseiro de Doutoramento da Fundação Ciência e Tecnologia (1998-2002),,,Prémio Natiris de Investigação em Fitoterapia (1999),http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1898,2014-11-18T23:05:55.276442
1899,José Manuel Alves,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1899,2014-11-18T23:05:55.388969
1902,Miguel Raimundo,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1902,2014-11-18T23:05:55.556390
1903,Vitor Neto,Nome Completo,PS,False,,Data de Nascimento,EMPRESÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1903,2014-11-18T23:05:55.668315
1904,António Pina,Nome Completo,PS,False,,Data de Nascimento,DIRECTOR REGIONAL DE EDUCAÇÃO DO ALGARVE,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1904,2014-11-18T23:05:55.781139
1905,Fernando Negrão,Nome Completo,PSD,True,Licenciatura em direito,Data de Nascimento,Jurista/Advogado,Deputado na XII Legislatura;,"Deputado na IX Legislatura; Juiz de Direito; Vogal do Conselho Superior da Magistratura; Juiz de Círculo; Magistrado judicial;; Presidente do Conselho de Administração do Instituto da Droga e da Toxicodependência;; Ministro da Segurança Social, da Familia e da Criança;; Advogado; Oficial da Força Aérea Portuguesa; Director Geral da Polícia Judiciária","Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Presidente]; Comissão Eventual para a Revisão Constitucional; Comissão Parlamentar de Inquérito à gestão do BES e do Grupo Espírito Santo [Presidente]; Grupo de Trabalho - Júri do Prémio Direitos Humanos 2014 [Coordenador ]",,Cruz do Mérito Policial com Distintivo Vermelho de Espanha - concedido pelo Governo do Reino de Espanha (D.R. N.º 65. II Série de 11-03-2000),http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1905,2014-11-18T23:05:55.909827
1906,João Gago Horta,Nome Completo,PSD,False,,Data de Nascimento,EMPRESÁRIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1906,2014-11-18T23:05:56.022319
1907,Luís Gomes,Nome Completo,PSD,False,Licenciatura em Engenharia do Território pelo IST; Pós-Graduação em Ciências Económicas e Empresariais,Data de Nascimento,Professor Universitário,Deputado na IX Legislatura; Vereador na Câmara Municipal de Vila Real de Santo António; Docente na Universidade do Algarve; Presidente da Comissão Política da Secção do PPD/PSD de Vila Real de Santo António,"Secretário Executivo da Associação para o Desenvolvimento do Baixo Guadiana (Constituída pelos municipios de Vila Real de Santo António, Castro Marim e Alcoutim); Consultor na área do Desenvolvimento Regional e Local",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1907,2014-11-18T23:05:56.143965
1909,Vasco Valdez,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO PROFESSOR ENSINO SUPERIOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1909,2014-11-18T23:05:56.353565
1910,Gustavo Duarte,Nome Completo,PSD,False,,Data de Nascimento,GESTOR EMPRESAS/ENGº CIVIL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1910,2014-11-18T23:05:56.466045
1915,Graça Proença de Carvalho,Nome Completo,PSD,False,,Data de Nascimento,GESTORA SECTOR FINANCEIRO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1915,2014-11-18T23:05:56.686905
1916,Daniel Rebelo,Nome Completo,PSD,False,Licenciatura em Economia,Data de Nascimento,Economista,Deputado na IX Legislatura; Presidente CPS da JSD de Caldas da Rainha; Vice-Presidente da CPD da JSD de Leiria; Deputado à Assembleia Municipal de Caldas da Rainha; Vogal da CPN da JSD,Vogal da Direcção Nacional do Ensino Particular e Cooperativo; Presidente da Direcção da Associação Académica do UAL de Caldas da Rainha,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1916,2014-11-18T23:05:56.810156
1917,Fernando Pimenta,Nome Completo,PSD,False,Engenheiro Electrotécnico,Data de Nascimento,Eng. Electrotécnico,Deputado à AR IX Legislatura; Vereador da Cãmara Municipal de Ansião; Vice-Presidente da Concelhia do PSD de Ansião.; Presidente da Direcção da COPRORABAÇAL C.R.L.,Director de uma Multinacional em Lisboa.; Vice-Presidente da Câmara Municipal de Ansião,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1917,2014-11-18T23:05:56.929953
1921,Isabel Gonçalves,Nome Completo,CDS-PP,False,Licenciatura em Engenharia Civil,Data de Nascimento,Engenheira Civil,"Deputada na X Legislatura;; Vereadora, sem pelouro, na Câmara Municipal de Leiria;",Deputada na IX Legislatura;,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1921,2014-11-18T23:05:57.124643
1922,Pedro Brandão Rodrigues,Nome Completo,CDS-PP,False,Licenciatura em Engenharia; Mestrado em Engenharia e Gestão; Doutoramento em Engenharia,Data de Nascimento,GESTOR,Comissão Politica do CDS-PP; Administrador da PT Investimentos Internacionais e suas Participadas.,"Administrador das Empresas: TMN, PT Compras, Fidelidade Mundial Confiança, Banco Mello de Investimentos, Banco Mello, Mello Activos Financeiros, Lisgráfica, Imprejornal, SIC, Promindústria, EVCA - European Venture Capital Association (Bruxelas), Presidente da APCRI - Associação Portuguesa de Capital de Risco e Professor do Instituto Superior Técnico.;  -;  -;  -",,,Medalha de Defesa Nacional - 1ª Classe,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1922,2014-11-18T23:05:57.249872
1923,Teresa Caeiro,Nome Completo,CDS-PP,True,Licenciatura em Direito; Mestrado em Direito,Data de Nascimento,Jurista,Deputada na XII Legislatura;; Vice-Presidente da Assembleia da República XII Legislatura; Vice-Presidente do CDS-PP;; Membro Suplente do Conselho de Administração da Assembleia da República;; 2007 - Membro da Comissão Executiva do CDS-PP;; Representante do Grupo Parlamentar do CDS/PP no Grupo Parlamentar Português sobre População e Desenvolvimento;; Membro da AWEPA.,"1993-1995 - Exercício de Advocacia na PLMJ, Sociedade de Advogados; 1996-1999 - Tradutora free-lance do Tribunal de Justiça e do Tribunal de 1ª Instância da Comunidade Europeia;; 1998-1999 - Jurista no Departamento Jurídico da PGA - Portugalia Airlines; 1999-2001 - Chefe de Gabinete do Grupo Parlamentar do CDS-PP na Assembleia da República;; 2002-2003 - Governadora Civil de Lisboa;; 12.09.2003 - 17.07.2004 - Secretária de Estado da Segurança Social no XV Governo Constitucional;; 21.07.2004 - 11.03.2005 - Secretária de Estado das Artes e dos Espectáculos no XVI Governo Constitucional;; 1996-1998 - Vogal da Comissão Politica Distrital de Lisboa do CDS-PP;; 1998-2005 - Vogal da Comissão Politica Nacional do CDS-PP;; 2003-2005 -  Membro da Comissão Directiva do CDS-PP;; 1997-2001 - Membro da Assembleia de Freguesia das Mercês;; 2008 -     Vice-Presidente do CDS/PP;; 2005 - 2009 Deputada à Assembleia da República X Legislatura; Vice-Presidente da Assembleia da República X Legislatura - 2009; Deputada na XI Legislatura;; Vice-Presidente da Assembleia da República XI Legislatura","Comissão de Educação, Ciência e Cultura [Suplente]; Comissão de Saúde [Coordenador GP]; Grupo de Trabalho - Acompanhamento da Problemática do VIH-Sida; Grupo de Trabalho - Álcool e Toxicodependência; Grupo de Trabalho - Procriação Medicamente Assistida (PJL 131-PS e 138-PSD); Subcomissão de Igualdade",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1923,2014-11-18T23:05:57.385850
1924,Paulo Veiga,Nome Completo,CDS-PP,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1924,2014-11-18T23:05:57.498567
1925,Susana Toscano,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1925,2014-11-18T23:05:57.613490
1926,Gonçalo Reis,Nome Completo,PSD,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1926,2014-11-18T23:05:57.725754
1927,José Pereira da Costa,Nome Completo,PSD,False,Licenciatura em Direito,Data de Nascimento,Advogado,Deputado na X Legislatura;; Vereador na Câmara Municipal da Figueira da Foz eleito em 2001; Membro da Assembleia Municipal da Figueira da Foz,Secretário de Estado da Defesa e dos Antigos Combatentes; Deputado na IX Legislatura; Vereador da Câmara Municipal da Figueira da Foz eleito em 1997,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1927,2014-11-18T23:05:57.843193
1928,Isilda Pegado,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1928,2014-11-18T23:05:57.958071
1929,João Pedro Serra,Nome Completo,PSD,False,,Data de Nascimento,JURISTA NA ADMINISTRAÇÃO PÚBLICA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1929,2014-11-18T23:05:58.070225
1930,Vítor Reis,Nome Completo,PSD,False,,Data de Nascimento,TÉCNICO SUPERIOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1930,2014-11-18T23:05:58.185100
